1,3,2,4,5,0,2
2,3,2,4,5,0,2
3,2,3,4,5,5,3
4,1,2,4,5,0,2
5,2,3,4,5,5,3
6,3,4,4,5,4,3
7,3,3,4,5,5,3
8,2,3,2,5,5,3
9,5,4,4,5,5,4
10,2,3,4,5,5,3
11,2,3,4,5,5,3
12,2,4,4,5,5,4
13,3,3,4,5,5,3
14,2,2,5,5,0,2
15,3,3,4,5,5,3
16,2,3,4,5,5,3
17,2,2,4,1,0,2
18,3,4,4,5,5,4
19,3,2,4,5,5,3
20,3,4,4,5,5,4
21,3,2,4,5,5,2
22,2,2,4,5,5,2
23,3,4,4,5,5,4
24,3,2,4,5,5,2
25,5,3,4,5,5,3
26,3,2,5,5,5,2
27,3,2,4,4,5,3
28,3,2,5,5,5,2
29,4,2,5,4,5,2
30,3,4,5,5,4,3
31,3,4,5,5,5,4
32,3,2,5,5,5,2
33,2,2,4,5,5,2
34,2,2,5,5,5,2
35,2,3,3,4,5,3
36,5,3,3,5,5,3
37,3,2,5,5,5,2
38,3,2,4,5,5,2
39,2,2,4,5,5,2
40,2,2,4,5,5,2
41,2,2,4,5,5,2
42,5,5,5,5,5,5
43,2,2,4,4,5,2
44,3,2,4,5,5,2
45,2,2,4,5,5,2
46,2,2,4,5,5,2
47,2,2,5,5,5,2
48,2,2,4,5,5,2
49,3,2,4,5,5,2
50,2,3,4,5,5,3
51,2,2,3,5,5,2
52,3,2,5,5,5,2
53,2,2,4,5,5,2
54,3,2,4,5,5,2
55,2,1,4,1,1,1
56,2,2,3,5,5,2
57,2,2,4,5,5,2
58,2,2,4,5,5,2
59,5,2,4,5,5,2
60,2,3,4,5,4,3
61,2,3,5,5,5,3
62,2,2,2,4,5,2
63,3,2,4,5,5,2
64,3,2,5,5,5,2
65,5,2,4,5,5,2
66,4,2,5,5,5,2
67,3,4,5,5,5,3
68,2,2,5,5,5,2
69,2,2,3,5,5,2
70,2,2,4,5,5,2
71,3,2,3,5,5,2
72,3,2,4,5,5,2
73,2,2,4,5,5,2
74,3,2,4,5,5,2
75,3,2,5,5,5,2
76,2,2,4,5,5,2
77,3,2,4,5,5,2
78,2,2,3,5,5,2
79,3,3,5,5,5,2
80,3,2,4,5,5,2
81,3,2,4,5,5,2
82,3,2,5,5,5,2
83,5,3,5,5,5,3
84,3,2,2,5,5,2
85,3,2,4,5,5,2
86,0,3,4,5,5,3
87,3,3,4,5,5,2
88,2,2,4,5,5,2
89,2,2,4,5,5,2
90,2,1,4,4,5,2
91,3,2,5,5,5,2
92,3,2,4,4,5,2
93,3,2,4,5,5,2
94,2,2,4,5,5,2
95,3,2,4,5,5,2
96,2,2,4,5,5,2
97,2,2,4,4,5,2
98,3,2,3,4,5,2
99,2,3,4,5,5,3
100,2,2,4,4,5,2
101,2,3,4,5,5,3
102,2,2,4,5,5,2
103,2,2,4,5,5,2
104,5,4,3,5,5,3
105,2,2,3,4,5,2
106,3,2,5,5,5,2
107,2,2,5,5,5,2
108,3,2,5,1,5,2
109,2,2,3,5,5,2
110,2,2,3,5,5,2
111,2,2,4,5,5,2
